Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
72,Integrated Science & Technology,Bachelors,"$73,700","$137,300",54%
73,Business Analysis,Bachelors,"$73,100","$137,000",47%
74,Business & Economics,Bachelors,"$69,000","$136,700",43%
74,Economics and Mathematics,Bachelors,"$79,800","$136,700",38%
76,Software Engineering,Bachelors,"$86,800","$136,600",45%
77,Computer & Information Science,Bachelors,"$78,500","$135,600",57%
78,Global & International Studies,Bachelors,"$62,300","$135,100",55%
79,Entrepreneurship & Marketing,Bachelors,"$66,100","$134,800",48%
80,International Economics,Bachelors,"$66,200","$134,500",53%
80,Materials Engineering,Bachelors,"$83,700","$134,500",59%
82,Economics,Bachelors,"$72,900","$134,200",41%
82,Environmental Health & Safety Management,Bachelors,"$69,500","$134,200",60%
84,Interactive Media Design,Bachelors,"$62,400","$134,100",33%
85,Mechanical Engineering (ME),Bachelors,"$82,000","$133,700",49%
85,Packaging Science,Bachelors,"$80,700","$133,700",41%
87,Management Information Systems (MIS),Bachelors,"$76,300","$133,400",43%
88,Ceramic Engineering,Bachelors,"$78,700","$133,200",-
88,Structural Engineering (SE),Bachelors,"$79,000","$133,200",67%
90,Telecommunications Engineering,Bachelors,"$81,400","$132,800",53%
91,Construction Project Management,Bachelors,"$71,500","$132,500",64%
92,Finance & Real Estate,Bachelors,"$75,700","$132,100",43%
93,Electronics Engineering,Bachelors,"$81,500","$131,700",67%
94,Automotive Engineering,Bachelors,"$76,600","$131,600",48%
95,Plastics Engineering,Bachelors,"$81,500","$131,000",57%
95,Mathematics & Statistics,Bachelors,"$74,400","$131,000",43%
97,Information & Decision Sciences,Bachelors,"$75,400","$130,000",35%
98,Mechanical,Bachelors,"$82,200","$129,900",-
99,Applied Physics,Bachelors,"$78,700","$129,800",52%
100,Building Construction (BC),Bachelors,"$75,500","$129,700",48%
